x-coord	y-coord	theta	timestamp
14.8539	18.2813	4.6838	1545138251.2136
14.8539	18.2813	4.6838	1545138251.2734
14.8539	18.2813	4.6838	1545138251.3329
14.8539	18.2813	4.6838	1545138251.3931
14.8539	18.2813	4.6838	1545138251.4531
14.8539	18.2813	4.6838	1545138251.5136
14.8539	18.2813	4.6838	1545138251.5761
14.8539	18.2813	4.6838	1545138251.6331
14.8539	18.2813	4.6838	1545138251.6937
14.8539	18.2813	4.6838	1545138251.7533
14.8539	18.2813	4.6838	1545138251.8161
14.8539	18.2813	4.6838	1545138251.8731
14.8539	18.2813	4.6838	1545138251.9328
14.8539	18.2813	4.6838	1545138251.9928
14.8539	18.2813	4.6838	1545138252.0567
14.8539	18.2813	4.6838	1545138252.1131
14.8539	18.2813	4.6838	1545138252.1734
14.8539	18.2813	4.6838	1545138252.2337
14.8539	18.2813	4.6838	1545138252.2959
14.8539	18.2813	4.6838	1545138252.3528
14.8539	18.2813	4.6838	1545138252.4133
14.8539	18.2813	4.6838	1545138252.4728
14.8539	18.2813	4.6838	1545138252.533
14.8539	18.2813	4.6838	1545138252.5931
14.8539	18.2813	4.6838	1545138252.6533
14.8539	18.2813	4.6838	1545138252.7135
14.8539	18.2813	4.6838	1545138252.7758
14.8539	18.2813	4.6838	1545138252.8329
14.8539	18.2813	4.6838	1545138252.8936
14.8539	18.2813	4.6838	1545138252.9533
14.8539	18.2813	4.6838	1545138253.0158
14.8539	18.2813	4.6838	1545138253.0731
14.8539	18.2813	4.6838	1545138253.1329
14.8539	18.2813	4.6838	1545138253.1931
14.8539	18.2813	4.6838	1545138253.2561
14.8539	18.2813	4.6838	1545138253.3132
14.8539	18.2813	4.6838	1545138253.3731
14.8539	18.2813	4.6838	1545138253.4332
14.8539	18.2813	4.6838	1545138253.4958
14.8539	18.2813	4.6838	1545138253.5531
14.8539	18.2813	4.6838	1545138253.6137
14.8539	18.2813	4.6838	1545138253.6734
14.8539	18.2813	4.6838	1545138253.7359
14.8539	18.2813	4.6838	1545138253.7929
14.8539	18.2813	4.6838	1545138253.8534
14.8539	18.2813	4.6838	1545138253.9134
14.8539	18.2813	4.6838	1545138253.9759
14.8539	18.2813	4.6838	1545138254.033
14.8539	18.2813	4.6838	1545138254.093
14.8539	18.2813	4.6838	1545138254.1534
14.8539	18.2813	4.6838	1545138254.2131
14.8539	18.2813	4.6838	1545138254.2729
14.8539	18.2813	4.6838	1545138254.3328
14.8539	18.2813	4.6838	1545138254.393
14.8539	18.2813	4.6838	1545138254.4558
14.8539	18.2813	4.6838	1545138254.5128
14.8539	18.2813	4.6838	1545138254.5734
14.8539	18.2813	4.6838	1545138254.6332
